scan_id,finding_id,scan_index,severity,confidence,rule_id,cwe,title,location,classification,reason
7920a870-c786-4651-9188-a6657445a2b0,6a93ef0e-8e5c-4a22-8873-bd01ec69b293,10,high,tentative,python.ssrf.variable-url,CWE-918,Potential SSRF â€” `urllib.request.urlopen()` with variable URL,pqkms\tests\e2e_integration.py:220,false_positive,Test-only code (tests/e2e_integration.py): the request targets a constant loopback URL (http://127.0.0.1:{PORT}) of a server the test itself spawned; PORT is a fixed local integer with no user/remote input. Not shipped in the application or container image. No SSRF reachability.
7920a870-c786-4651-9188-a6657445a2b0,45ed483c-8e5f-4ea7-b234-348f26d3f51e,12,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `open()` with variable path,pqkms\tests\e2e_integration.py:46,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,684cfdc3-47cb-4b7a-aa34-c81c6ebee3aa,13,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `open()` with variable path,pqkms\tests\e2e_integration.py:88,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,2575f84e-e950-4a6f-99f1-d1b55108da42,14,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `open()` with variable path,pqkms\tests\e2e_integration.py:92,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,1529f149-e41b-4ae6-8498-d19a51b7ca37,15,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `Path()` with variable path,pqkms\app\main.py:134,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,cd05447c-f521-4c0d-b76d-a0600d824c25,16,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `Path()` with variable path,pqkms\app\main.py:187,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,745631b8-a0a5-442f-914b-72ec6230451c,17,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `Path()` with variable path,pqkms\app\main.py:324,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,93f280e3-b7c1-47b1-8076-ab799fcee763,18,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `open()` with variable path,pqkms\app\storage\audit_sink.py:91,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,61fdfdb8-e3c7-4133-b0f4-2fa07901d3c4,19,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `Path()` with variable path,pqkms\app\storage\engine.py:28,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,65fe985d-cb5f-47ec-a0e7-13e77b32f083,20,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `Path()` with variable path,pqkms\app\storage\migrate.py:32,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,770af853-8555-4061-a26a-648513452e42,21,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `open()` with variable path,pqkms\app\custody\factory.py:29,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,1d38a484-7bd3-4bd9-8301-eac84c3d37c6,22,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `open()` with variable path,pqkms\app\cli\audit.py:36,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,f49be7a0-ef2f-4550-b11f-ce735af3c7ec,23,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `open()` with variable path,pqkms\app\cli\audit.py:45,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,8ddbb2f9-809e-4b9f-a22c-aea09112605f,24,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `open()` with variable path,pqkms\app\cli\backup.py:46,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,2569802b-5a81-4356-9228-4ca1969f4c89,25,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `open()` with variable path,pqkms\app\cli\backup.py:89,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,d92265cf-3659-4b3a-9f11-edcb35c3bc08,26,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `open()` with variable path,pqkms\app\cli\backup.py:101,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,073e0cfe-6a6d-4e4e-8907-ea3ac7e4ad3d,27,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `open()` with variable path,pqkms\app\cli\init.py:34,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,cbe91be9-f09e-43c3-9b0e-1bef9f519be5,28,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `open()` with variable path,pqkms\app\cli\rekey.py:36,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,5012225c-a85d-4aaa-b9d2-8136c64b5986,29,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `Path()` with variable path,pqkms\app\cli\sbom.py:26,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,9ef635c4-c981-48a8-81ea-db246f1f802e,30,medium,tentative,python.path-traversal.variable-path,CWE-22,Potential path traversal â€” `Path()` with variable path,pqkms\app\cli\sbom.py:94,false_positive,"Path is operator-controlled configuration, never untrusted/remote input: it derives from environment variables (PQKMS_DATA_DIR, PQKMS_PASSPHRASE_FILE, PQKMS_SHAMIR_SHARE_FILES, PQKMS_AUDIT_LOG_FILE), CLI arguments, or a constant package-relative path (Path(__file__)). The operator already has full host access, so no privilege boundary is crossed. CWE-22 requires attacker-controlled path input over a trust boundary."
7920a870-c786-4651-9188-a6657445a2b0,36de6e8f-0f28-488d-93c8-c384b0fc48cc,32,low,firm,config-audit/dockerfile-unpinned-packages,,Dockerfile installs unpinned packages,pqkms\deploy\Dockerfile:22,accepted_risk,"Accepted risk: the base image is pinned by immutable digest, which fixes the apt package snapshot for the build. Pinning apt versions in Debian-slim is fragile (point releases purge old versions and break reproducible builds); project policy updates the base-image digest via Dependabot. Not a code/secret vuln."
7920a870-c786-4651-9188-a6657445a2b0,ec24b3ab-5984-484a-ad84-8db26e5dcab4,33,low,firm,config-audit/dockerfile-unpinned-packages,,Dockerfile installs unpinned packages,pqkms\deploy\Dockerfile:45,accepted_risk,"Accepted risk: the base image is pinned by immutable digest, which fixes the apt package snapshot for the build. Pinning apt versions in Debian-slim is fragile (point releases purge old versions and break reproducible builds); project policy updates the base-image digest via Dependabot. Not a code/secret vuln."
